strap,tax_yr,bldAcutalVal,LandAcutalVal,xfActualVal,totalActualVal,landAssessedVal,bldAssessedVal,xfAssessedVal,totalAssessedVal,status_cd
R0000710,2021,93410,840690,,934100,60109.0,6679.0,,66788,A 
R0000711,2021,399200,1105700,,1504900,79058.0,28543.0,,107601,A 
R0000715,2021,221700,1926270,,2147970,137728.0,15852.0,,153580,A 
R0000716,2021,91060,819540,,910600,58597.0,6511.0,,65108,A 
R0000717,2021,86420,777780,,864200,55611.0,6179.0,,61790,A 
R0000729,2021,419600,470300,,889900,33626.0,30001.0,,63627,A 
R0000733,2021,73270,659430,,732700,47149.0,5239.0,,52388,A 
R0000734,2021,782100,655200,,1437300,46847.0,55920.0,,102767,A 
R0000740,2021,270300,512900,,783200,36672.0,19326.0,,55998,A 
R0000741,2021,2439200,1047200,,3486400,74875.0,174403.0,,249278,A 
R0000747,2021,351400,656100,,1007500,46911.0,25125.0,,72036,A 
R0000750,2021,904800,1450100,,2354900,103682.0,64693.0,,168375,A 
R0000754,2021,163300,994600,,1157900,71114.0,11676.0,,82790,A 
R0000756,2021,440400,470500,,910900,33641.0,31489.0,,65130,A 
R0000759,2021,629300,1501200,,2130500,107336.0,44995.0,,152331,A 
R0000763,2021,265100,584100,,849200,41763.0,18955.0,,60718,A 
R0000765,2021,184700,590300,,775000,42206.0,13206.0,,55412,A 
R0000766,2021,508200,867100,,1375300,61998.0,36336.0,,98334,A 
R0000767,2021,99700,897300,,997000,64157.0,7129.0,,71286,A 
R0000770,2021,572600,821100,,1393700,58709.0,40941.0,,99650,A 
R0000771,2021,191300,347400,,538700,24839.0,13678.0,,38517,A 
R0000772,2021,447100,352800,,799900,25225.0,31968.0,,57193,A 
R0000773,2021,1207480,797800,,2005280,57043.0,86334.0,,143377,A 
R0000774,2021,751100,1121900,,1873000,80216.0,53704.0,,133920,A 
R0000776,2021,246400,723900,,970300,51759.0,17618.0,,69377,A 
R0000783,2021,528900,640300,,1169200,45781.0,37816.0,,83597,A 
R0000785,2021,67290,605610,,672900,43301.0,4811.0,,48112,A 
R0000791,2021,139900,678400,,818300,48506.0,10003.0,,58509,A 
R0000793,2021,359200,374400,,733600,26770.0,25683.0,,52453,A 
R0000795,2021,72440,651960,,724400,46615.0,5179.0,,51794,A 
R0000800,2021,184000,320000,,504000,22880.0,13156.0,,36036,A 
R0000802,2021,860900,591000,,1451900,42257.0,61554.0,,103811,A 
R0000803,2021,62980,566820,,629800,40528.0,4503.0,,45031,A 
R0000804,2021,371900,982100,,1354000,70220.0,26591.0,,96811,A 
R0000805,2021,476000,786400,,1262400,56228.0,34034.0,,90262,A 
R0000808,2021,272800,585100,,857900,41835.0,19505.0,,61340,A 
R0000813,2021,626900,421000,,1047900,30102.0,44823.0,,74925,A 
R0000821,2021,658200,1110800,,1769000,79422.0,47061.0,,126483,A 
R0000830,2021,462200,476000,,938200,34034.0,33047.0,,67081,A 
R0000831,2021,308900,348800,,657700,24939.0,22086.0,,47025,A 
R0000833,2021,661900,720500,,1382400,51516.0,47326.0,,98842,A 
R0000835,2021,220100,519700,,739800,37159.0,15737.0,,52896,A 
R0000841,2021,486700,605100,,1091800,43265.0,34799.0,,78064,A 
R0000843,2021,251800,634900,,886700,45395.0,18004.0,,63399,A 
R0000844,2021,562500,640800,,1203300,45817.0,40219.0,,86036,A 
R0000846,2021,237500,545400,,782900,38996.0,16981.0,,55977,A 
